signature,class_name,java_class_name,method_name,descriptor,access_flags,is_external,is_project_method,code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls,reachable_from_manifest_entry,core_score
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$$ExternalSyntheticLambda1;->invoke(Ljava/lang/Object;)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$$ExternalSyntheticLambda1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$$ExternalSyntheticLambda1,invoke,(Ljava/lang/Object;)Ljava/lang/Object;,public final,False,True,13,0,1,0,False,16
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$1$1$1$1$1$1$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,3,1,0,False,15
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$1$1$1$1$1$1,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,public static synthetic,False,True,13,1,0,1,False,8
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1;-><init>(Lkotlin/jvm/functions/Function2; Lcom/example/android/architecture/blueprints/todoapp/data/Task;)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$1$1$1$1$1$1,<init>,(Lkotlin/jvm/functions/Function2; Lcom/example/android/architecture/blueprints/todoapp/data/Task;)V,constructor,False,True,18,1,1,1,False,7
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1;->invoke(Ljava/lang/Object;)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$1$1$1$1$1$1,invoke,(Ljava/lang/Object;)Ljava/lang/Object;,public bridge synthetic,False,True,23,0,2,1,False,20
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1;->invoke(Z)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$1$1$1$1$1$1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$1$1$1$1$1$1,invoke,(Z)V,public final,False,True,21,1,1,2,False,20
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,4,1,0,False,17
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,public static synthetic,False,True,13,1,0,1,False,8
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;-><clinit>()V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1,<clinit>,()V,static constructor,False,True,18,0,2,0,False,7
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;-><init>()V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1,<init>,()V,public constructor,False,True,14,1,1,1,False,7
