class_name,java_class_name,method_count,total_code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl,14,230,13,18,7
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewCBuilder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewCBuilder$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewCBuilder;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewCBuilder,7,120,5,9,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewCImpl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewCImpl$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewCImpl;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewCImpl,3,39,3,3,1
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCBuilder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCBuilder$$ExternalSynthetic$Condy0,1,35,7,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCBuilder;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCBuilder,9,164,7,12,6
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl$SwitchingProvider$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl$SwitchingProvider$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl$SwitchingProvider;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl$SwitchingProvider,3,171,5,13,7
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl,7,192,7,11,9
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewWithFragmentCBuilder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewWithFragmentCBuilder$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewWithFragmentCBuilder;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewWithFragmentCBuilder,7,124,5,9,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewWithFragmentCImpl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewWithFragmentCImpl$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ViewWithFragmentCImpl;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewWithFragmentCImpl,3,41,3,3,1
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC,3,43,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/HiltTestActivity$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.HiltTestActivity$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/HiltTestActivity;,com.example.android.architecture.blueprints.todoapp.HiltTestActivity,3,37,1,3,1
Lcom/example/android/architecture/blueprints/todoapp/HiltTestActivity_GeneratedInjector;,com.example.android.architecture.blueprints.todoapp.HiltTestActivity_GeneratedInjector,1,0,1,0,0
Lcom/example/android/architecture/blueprints/todoapp/Hilt_HiltTestActivity$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.Hilt_HiltTestActivity$$ExternalSynthetic$Condy0,1,35,12,1,0
Lcom/example/android/architecture/blueprints/todoapp/Hilt_HiltTestActivity$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.Hilt_HiltTestActivity$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/Hilt_HiltTestActivity$1;,com.example.android.architecture.blueprints.todoapp.Hilt_HiltTestActivity$1,3,44,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/Hilt_HiltTestActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_HiltTestActivity,16,412,14,25,16
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity$$ExternalSynthetic$Condy0,1,35,12,1,0
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity$1;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity$1,3,44,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity,16,412,15,25,16
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoApplication$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoApplication$$ExternalSynthetic$Condy0,1,35,6,1,0
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoApplication$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoApplication$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoApplication$1;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoApplication$1,3,64,2,5,3
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoApplication;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoApplication,7,156,7,12,6
Lcom/example/android/architecture/blueprints/todoapp/R$array;,com.example.android.architecture.blueprints.todoapp.R$array,1,4,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/R$attr;,com.example.android.architecture.blueprints.todoapp.R$attr,1,4,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/R$color;,com.example.android.architecture.blueprints.todoapp.R$color,1,4,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/R$dimen;,com.example.android.architecture.blueprints.todoapp.R$dimen,1,4,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/R$drawable;,com.example.android.architecture.blueprints.todoapp.R$drawable,1,4,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/R$font;,com.example.android.architecture.blueprints.todoapp.R$font,1,4,0,0,1
