method_id,class_name,method_name,call_count
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3$$ExternalSynthetic$Condy0,$init,51
com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$2$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$2$1$$ExternalSynthetic$Condy0,$init,48
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-7$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-7$1$$ExternalSynthetic$Condy0,$init,44
com.example.android.architecture.blueprints.todoapp.util.TopAppBarsKt$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.TopAppBarsKt$$ExternalSynthetic$Condy0,$init,44
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModel_HiltModules$KeyModule$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModel_HiltModules$KeyModule$$ExternalSynthetic$Condy0,$init,36
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$Builder$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$Builder$$ExternalSynthetic$Condy0,$init,34
com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$uiState$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$uiState$1$$ExternalSynthetic$Condy0,$init,34
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-19$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-19$1$$ExternalSynthetic$Condy0,$init,34
com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase$$ExternalSynthetic$Condy0,$init,32
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-4$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-4$1$$ExternalSynthetic$Condy0,$init,32
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-15$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-15$1$$ExternalSynthetic$Condy0,$init,32
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$$ExternalSynthetic$Condy0,$init,28
com.example.android.architecture.blueprints.todoapp.tasks.FilteringUiInfo$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.FilteringUiInfo$$ExternalSynthetic$Condy0,$init,26
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-20$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-20$1$$ExternalSynthetic$Condy0,$init,25
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$$ExternalSynthetic$Condy0,$init,24
com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$$ExternalSynthetic$Condy0,$init,23
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$SwitchingProvider$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$SwitchingProvider$$ExternalSynthetic$Condy0,$init,22
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-7$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-7$1$$ExternalSynthetic$Condy0,$init,22
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$$ExternalSynthetic$Condy0,$init,20
com.example.android.architecture.blueprints.todoapp.util.ComposeUtilsKt$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposeUtilsKt$$ExternalSynthetic$Condy0,$init,20
com.example.android.architecture.blueprints.todoapp.util.TopAppBarsKt$MoreTasksMenu$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.TopAppBarsKt$MoreTasksMenu$1$$ExternalSynthetic$Condy0,$init,20
com.example.android.architecture.blueprints.todoapp.data.TaskRepository$DefaultImpls->$init(): void,com.example.android.architecture.blueprints.todoapp.data.TaskRepository$DefaultImpls,$init,18
com.example.android.architecture.blueprints.todoapp.di.DatabaseModule$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.di.DatabaseModule$$ExternalSynthetic$Condy0,$init,18
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-10$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-10$1$$ExternalSynthetic$Condy0,$init,18
com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt$AppModalDrawer$2$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt$AppModalDrawer$2$$ExternalSynthetic$Condy0,$init,18
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityCBuilder$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityCBuilder$$ExternalSynthetic$Condy0,$init,14
com.example.android.architecture.blueprints.todoapp.data.source.network.TaskNetworkDataSource$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.source.network.TaskNetworkDataSource$$ExternalSynthetic$Condy0,$init,14
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$3$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$3$$ExternalSynthetic$Condy0,$init,14
com.example.android.architecture.blueprints.todoapp.Hilt_TodoApplication$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.Hilt_TodoApplication$$ExternalSynthetic$Condy0,$init,12
com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt->$init(): void,com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt,$init,12
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityCImpl$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityCImpl$$ExternalSynthetic$Condy0,$init,10
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$$ExternalSynthetic$Condy0,$init,10
com.example.android.architecture.blueprints.todoapp.data.ModelMappingExtKt$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.ModelMappingExtKt$$ExternalSynthetic$Condy0,$init,10
